,Date,Time,open,high,low,close,volume
417,03-11-2023,13:30:00,19539.6,19539.6,19534.4,19536.3,350.0
418,03-11-2023,13:40:00,19536.3,19539.95,19536.3,19539.95,150.0
419,03-11-2023,13:45:00,19539.95,19539.95,19530.0,19530.0,250.0
420,03-11-2023,13:50:00,19530.0,19534.2,19530.0,19530.35,700.0
421,03-11-2023,13:55:00,19530.35,19530.4,19529.9,19529.9,850.0
422,03-11-2023,14:00:00,19529.9,19538.3,19529.9,19537.3,850.0
423,03-11-2023,14:05:00,19537.3,19537.3,19533.65,19533.65,150.0
424,03-11-2023,14:10:00,19533.65,19533.65,19531.6,19531.6,250.0
425,03-11-2023,14:15:00,19531.6,19535.75,19531.6,19534.75,250.0
426,03-11-2023,14:20:00,19534.75,19538.0,19534.75,19538.0,150.0
427,03-11-2023,14:25:00,19538.0,19545.0,19531.05,19545.0,1200.0
428,03-11-2023,14:30:00,19545.0,19545.0,19530.0,19530.0,300.0
429,03-11-2023,14:35:00,19530.0,19531.0,19524.3,19524.85,350.0
430,03-11-2023,14:40:00,19524.85,19524.85,19513.0,19514.65,1050.0
431,03-11-2023,14:45:00,19514.65,19514.65,19500.0,19508.9,3050.0
432,03-11-2023,14:50:00,19508.9,19508.9,19490.05,19500.75,1500.0
433,03-11-2023,14:55:00,19500.75,19516.3,19500.75,19514.0,250.0
434,03-11-2023,15:00:00,19514.0,19521.6,19510.0,19510.0,550.0
435,03-11-2023,15:05:00,19510.0,19510.0,19496.9,19505.0,1500.0
436,03-11-2023,15:10:00,19505.0,19505.0,19502.0,19505.0,300.0
437,03-11-2023,15:15:00,19505.0,19509.0,19505.0,19509.0,500.0
438,03-11-2023,15:20:00,19509.0,19511.0,19506.4,19511.0,350.0
439,03-11-2023,15:25:00,19511.0,19515.65,19507.0,19507.0,2700.0
440,06-11-2023,09:15:00,19605.55,19634.45,19603.35,19620.0,7250.0
441,06-11-2023,09:20:00,19620.0,19639.0,19620.0,19638.0,3300.0
442,06-11-2023,09:25:00,19636.8,19637.0,19627.5,19631.05,1900.0
443,06-11-2023,09:30:00,19631.05,19636.0,19625.6,19630.0,2000.0
444,06-11-2023,09:35:00,19630.0,19633.95,19629.8,19632.45,900.0
445,06-11-2023,09:40:00,19632.45,19637.3,19630.0,19630.0,2450.0
446,06-11-2023,09:45:00,19630.0,19632.6,19622.25,19626.0,1400.0
447,06-11-2023,09:50:00,19626.0,19628.75,19620.0,19625.85,1550.0
448,06-11-2023,09:55:00,19625.85,19635.0,19625.85,19630.0,1900.0
449,06-11-2023,10:00:00,19630.0,19639.95,19630.0,19637.65,1950.0
450,06-11-2023,10:05:00,19636.95,19638.95,19635.0,19638.95,650.0
451,06-11-2023,10:10:00,19638.95,19639.9,19635.0,19639.5,1200.0
452,06-11-2023,10:15:00,19639.5,19658.2,19639.5,19655.25,5300.0
453,06-11-2023,10:20:00,19655.25,19660.0,19652.1,19658.0,1900.0
454,06-11-2023,10:25:00,19658.0,19658.2,19654.65,19657.5,750.0
455,06-11-2023,10:30:00,19657.5,19657.5,19648.55,19650.0,500.0
456,06-11-2023,10:35:00,19650.0,19650.0,19643.05,19643.05,700.0
457,06-11-2023,10:40:00,19643.05,19646.1,19637.25,19639.8,1300.0
458,06-11-2023,10:45:00,19639.8,19639.8,19635.0,19635.0,700.0
459,06-11-2023,10:50:00,19635.0,19635.0,19627.0,19629.7,600.0
460,06-11-2023,10:55:00,19629.7,19631.4,19625.0,19631.4,400.0
461,06-11-2023,11:00:00,19631.4,19631.4,19609.0,19609.0,1700.0
462,06-11-2023,11:05:00,19609.0,19609.0,19598.85,19605.7,1750.0
463,06-11-2023,11:10:00,19618.15,19619.25,19609.1,19619.25,900.0
464,06-11-2023,11:15:00,19619.25,19624.0,19615.0,19621.7,400.0
465,06-11-2023,11:20:00,19615.9,19623.0,19613.4,19621.15,850.0
466,06-11-2023,11:25:00,19621.15,19625.0,19616.95,19625.0,250.0
467,06-11-2023,11:30:00,19625.0,19634.95,19625.0,19634.95,350.0
468,06-11-2023,11:35:00,19634.95,19635.55,19634.95,19635.55,50.0
469,06-11-2023,11:40:00,19635.55,19635.55,19630.0,19635.0,700.0
470,06-11-2023,11:45:00,19636.0,19637.9,19636.0,19637.9,200.0
471,06-11-2023,11:50:00,19635.95,19635.95,19630.05,19630.05,300.0
472,06-11-2023,11:55:00,19630.05,19637.9,19630.05,19637.9,850.0
473,06-11-2023,12:00:00,19637.9,19637.9,19633.0,19633.0,50.0
474,06-11-2023,12:05:00,19633.0,19639.95,19633.0,19639.95,400.0
475,06-11-2023,12:10:00,19639.95,19647.85,19634.0,19640.0,1650.0
476,06-11-2023,12:15:00,19640.0,19640.0,19635.5,19635.5,400.0
